Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 11/06/2020
Code Year    adjTFR
USA  1989     1.998
USA  1990     2.038
USA  1991     2.067
USA  1992     2.181
USA  1993     2.224
USA  1994     2.252
USA  1995     2.215
USA  1996     2.178
USA  1997     2.141
USA  1998     2.187
USA  1999     2.260
USA  2000     2.335
USA  2001     2.328
USA  2002     2.387
USA  2003     2.309
USA  2004     2.148
USA  2005     2.065
USA  2006     2.119
USA  2007     2.242
USA  2008     2.295
USA  2009     2.355
USA  2010     2.333
USA  2011     2.207
USA  2012     2.171
USA  2013     2.195
USA  2014     2.165
USA  2015     2.142
USA  2016     2.078
